ccaa,fuente,url,metodo,terminos,resultados,accesible,observaciones
AN,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,21 documentos; 2 utilizables; 1 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
AR,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,225 documentos; 112 utilizables; 91 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
AR,"Open Data Aragon, expedientes del INAGA (via 6)",https://opendata.aragon.es/GA_OD_Core/download?resource_id=240&formato=json,"descarga del recurso 240 en JSON, emparejamiento por clave exacta",titulares de expediente ambiental; NIF,27815 expedientes; 6298 titulares,1,"Buscar «centro de datos» en el asunto da 2 expedientes: el INAGA describe la actividad, no el uso. Sirve para el NIF, no para localizar expedientes."
AS,"Archivo local, expedientes no electricos",,"lectura de fichas (ambiental, urbanistico, municipal)",centro de datos; centro de proceso de datos; data center,11 documentos; 1 utilizables; 0 filas,1,Sin cita derivable del nombre no hay fila: por eso quedan fuera.
Aragon,Indices archivados del BOA (sumarios y listados),,"lectura de las paginas de resultados y sumarios ya guardadas en datos/crudos, sin salir a la red","""centro de datos""; ""centros de datos""; ""centro de proceso de datos""; ""centro de procesamiento de datos""; ""centre de dades""; ""data center""; ""data centre""; CPD; hiperescala",1084 anuncios catalogados; 70 nombran un centro de datos; 0 sin documento archivado,1,"El indice dice lo que se publico, no solo lo que se bajo. Un titulo no es un expediente: lo que falte hay que abrirlo antes de escribir ninguna fila."
Asturias,Ayuntamiento de Salas: sede electronica y portal de transparencia (planeamiento) y web municipal,https://ayto-salas.sedelectronica.es/transparency/,curl,Nonaya; plan parcial; centro de datos,Apartado 7.1 Planeamiento existe pero es Wicket/AJAX; documentos no descargables sin navegador,1,Pendiente de descarga manual de la memoria de la Modificacion n. 1 (expte. 305/2026)
Asturias,"BOE, buscador boe.php (campo DOC texto, fechas 2019-01-01 a 2026-09-02, todas las secciones)",https://www.boe.es/buscar/boe.php,"GET con curl con los nombres de campo del formulario (campo[3]=DOC, campo[6]=FPU)","""centro de datos"" Asturias; ""centro de proceso de datos"" Asturias; ""centros de datos"" Asturias; ""data center"" Asturias; ""centro de datos"" Salas; ""centro de datos"" Oviedo; ""centro de datos"" Gijon; titulo=Asturias + ""centro de datos""","11 / 41 / 21 / 11 / 20 / 7 / 4 / 0; 86 documentos distintos, 0 relevantes",1,"Todos son revocaciones de NIF, concursos de puestos, leyes, planes estadisticos y anuncios de Metro de Madrid o Policia. No hay anuncio de la Delegacion del Gobierno en Asturias (Area de Industria y Energia) que mencione un centro de datos; la unica resolucion 2026 de Asturias localizada (BOE-A-2026-18029, linea 20 kV Viesgo en Santa Eulalia de Oscos) no tiene relacion"
Asturias,"BOPA, buscador de texto libre de disposiciones (miprincipado.asturias.es/bopa/disposiciones, parametro p_r_p_dispositionText, delta=200)",https://miprincipado.asturias.es/bopa/disposiciones?p_p_id=pa_sede_bopa_web_portlet_SedeBopaDispositionWeb&p_p_lifecycle=0&_pa_sede_bopa_web_portlet_SedeBopaDispositionWeb_delta=200&p_r_p_dispositionText=%22centro+de+datos%22,"GET con curl y parseo de resultados (titulo, codigo, fecha); sede.asturias.es/bopa redirige a miprincipado.asturias.es","""centro de datos""; ""centros de datos""; ""centro de proceso de datos""; ""centro de procesamiento de datos""; ""data center""; CPD; ""subestacion remota""; ""centru de datos""; Nonaya; ""Sales For You""; ""Sales For You Consulting""; ""Digital Valley""; ""pozo San Jorge""; Gitpa; ""interes estrategico""; hiperescala; ""centro de datos"" Salas; ""centro de datos"" Aller; ""Ley 7/2024""","52 / 52 / 89 / 2 / 5 / 68 / 0 / 0 / 140 / 0 / 0 / 0 / 5 (anteriores a 2019) / 12 / 41 / 0 / 22 / 0 / 1; 331 disposiciones distintas revisadas por titulo, 2019-2026",1,"Ninguna disposicion 2019-2026 con 'centro de datos', 'CPD' o 'data center' es un expediente electrico, ambiental o urbanistico: son convocatorias de empleo, convenios universitarios, sedes electronicas y contratos de mantenimiento. Unicos hallazgos utiles: Nonaya Este (2026-02414, 2026-05309), Ley 7/2024 de PIER (2024-11353), Ley 3/2023 de economia del dato (2023-03019), PIER Costco (2025-07619, 2026-01423) y PIER Salave (2025-06284) como referencia de plazos. La combinacion frase + palabra (""centro de datos"" subestacion) devuelve 0"
Asturias,Bing (HTML y RSS) y DuckDuckGo HTML via curl,https://www.bing.com/search?format=rss,curl,varias,Bing devuelve resultados sin relacion con la consulta para frases en castellano; DuckDuckGo responde 202 (desafio),0,Descartados
Asturias,Data Center Map (indice local datos/intermedios/dcm_indice.csv),,lectura del CSV; no se intento el sitio,asturias; oviedo; gijon; aviles,0: el indice solo contiene mercados madrid (81) y zaragoza (22),1,Las 3 fichas de Oviedo no estan capturadas
